"","x"
"1",93.2
"2",96
"3",95.2
"4",77.1
"5",70.9
"6",64.8
"7",70.1
"8",77.3
"9",79.5
"10",100.6
"11",100.7
"12",107.1
"13",95.9
"14",82.8
"15",83.3
"16",80
"17",80.4
"18",67.5
"19",75.7
"20",71.1
"21",89.3
"22",101.1
"23",105.2
"24",114.1
"25",96.3
"26",84.4
"27",91.2
"28",81.9
"29",80.5
"30",70.4
"31",74.8
"32",75.9
"33",86.3
"34",98.7
"35",100.9
"36",113.8
"37",89.8
"38",84.4
"39",87.2
"40",85.6
"41",72
"42",69.2
"43",77.5
"44",78.1
"45",94.3
"46",97.7
"47",100.2
"48",116.4
"49",97.1
"50",93
"51",96
"52",80.5
"53",76.1
"54",69.9
"55",73.6
"56",92.6
"57",94.2
"58",93.5
"59",108.5
"60",109.4
"61",105.1
"62",92.5
"63",97.1
"64",81.4
"65",79.1
"66",72.1
"67",78.7
"68",87.1
"69",91.4
"70",109.9
"71",116.3
"72",113
"73",100
"74",84.8
"75",94.3
"76",87.1
"77",90.3
"78",72.4
"79",84.9
"80",92.7
"81",92.2
"82",114.9
"83",112.5
"84",118.3
"85",106
"86",91.2
"87",96.6
"88",96.3
"89",88.2
"90",70.2
"91",86.5
"92",88.2
"93",102.8
"94",119.1
"95",119.2
"96",125.1
"97",106.1
"98",102.1
"99",105.2
"100",101
"101",84.3
"102",87.5
"103",92.7
"104",94.4
"105",113
"106",113.9
"107",122.9
"108",132.7
"109",106.9
"110",96.6
"111",127.3
"112",98.2
"113",100.2
"114",89.4
"115",95.3
"116",104.2
"117",106.4
"118",116.2
"119",135.9
"120",134
"121",104.6
"122",107.1
"123",123.5
"124",98.8
"125",98.6
"126",90.6
"127",89.1
"128",105.2
"129",114
"130",122.1
"131",138
"132",142.2
"133",116.4
"134",112.6
"135",123.8
"136",103.6
"137",113.9
"138",98.6
"139",95
"140",116
"141",113.9
"142",127.5
"143",131.4
"144",145.9
"145",131.5
"146",131
"147",130.5
"148",118.9
"149",114.3
"150",85.7
"151",104.6
"152",105.1
"153",117.3
"154",142.5
"155",140
"156",159.8
"157",131.2
"158",125.4
"159",126.5
"160",119.4
"161",113.5
"162",98.7
"163",114.5
"164",113.8
"165",133.1
"166",143.4
"167",137.3
"168",165.2
"169",126.9
"170",124
"171",135.7
"172",130
"173",109.4
"174",117.8
"175",120.3
"176",121
"177",132.3
"178",142.9
"179",147.4
"180",175.9
"181",132.6
"182",123.7
"183",153.3
"184",134
"185",119.6
"186",116.2
"187",118.6
"188",130.7
"189",129.3
"190",144.4
"191",163.2
"192",179.4
"193",128.1
"194",138.4
"195",152.7
"196",120
"197",140.5
"198",116.2
"199",121.4
"200",127.8
"201",143.6
"202",157.6
"203",166.2
"204",182.3
"205",153.1
"206",147.6
"207",157.7
"208",137.2
"209",151.5
"210",98.7
"211",145.8
"212",151.7
"213",129.4
"214",174.1
"215",197
"216",193.9
"217",164.1
"218",142.8
"219",157.9
"220",159.2
"221",162.2
"222",123.1
"223",130
"224",150.1
"225",169.4
"226",179.7
"227",182.1
"228",194.3
"229",161.4
"230",169.4
"231",168.8
"232",158.1
"233",158.5
"234",135.3
"235",149.3
"236",143.4
"237",142.2
"238",188.4
"239",166.2
"240",199.2
"241",182.7
"242",145.2
"243",182.1
"244",158.7
"245",141.6
"246",132.6
"247",139.6
"248",147
"249",166.6
"250",157
"251",180.4
"252",210.2
"253",159.8
"254",157.8
"255",168.2
"256",158.4
"257",152
"258",142.2
"259",137.2
"260",152.6
"261",166.8
"262",165.6
"263",198.6
"264",201.5
"265",170.7
"266",164.4
"267",179.7
"268",157
"269",168
"270",139.3
"271",138.6
"272",153.4
"273",138.9
"274",172.1
"275",198.4
"276",217.8
"277",173.7
"278",153.8
"279",175.6
"280",147.1
"281",160.3
"282",135.2
"283",148.8
"284",151
"285",148.2
"286",182.2
"287",189.2
"288",183.1
"289",170
"290",158.4
"291",176.1
"292",156.2
"293",153.2
"294",117.9
"295",149.8
"296",156.6
"297",166.7
"298",156.8
"299",158.6
"300",210.8
"301",203.6
"302",175.2
"303",168.7
"304",155.9
"305",147.3
"306",137
"307",141.1
"308",167.4
"309",160.2
"310",191.9
"311",174.4
"312",208.2
"313",159.4
"314",161.1
"315",172.1
"316",158.4
"317",114.6
"318",159.6
"319",159.7
"320",159.4
"321",160.7
"322",165.5
